"body", "keywords", count
"7", "OneNote", 1
"7", "OS", 5
"7", "OTA", 2
"7", "OTAs", 1
"7", "pay", 2
"7", "pen", 3
"7", "pen.", 3
"7", "pens", 1
"7", "perform", 2
"7", "performance", 1
"7", "phablet", 1
"7", "picture", 1
"7", "pictures", 1
"7", "Pressure sensitivity", 1
"7", "RAM", 2
"7", "record", 1
"7", "ROM", 2
"7", "S-Pen", 2
"7", "s-pen out.", 1
"7", "S-Pens", 1
"7", "Samsung Galaxy Note5", 1
"7", "Samsung Pay", 1
"7", "SamsungPay", 1
"7", "screen", 3
"7", "screen.", 3
"7", "screens", 1
"7", "screens.", 1
"7", "SD", 2
"7", "shutter", 1
"7", "shutter speed", 1
"7", "sim", 2
"7", "Speed", 4
"7", "Spen", 2
"7", "SPens", 1
"7", "stylus", 1
"7", "stylus..", 1
"7", "Surface Pro stylus", 1
"7", "touch wiz", 1
"7", "TouchWiz", 1
"7", "UI", 2
"7", "upgrade", 1
"7", "write", 1
"8", "128gb", 2
"8", "128GB option", 1
"8", "2k", 1
"8", "32GB", 1
"8", "AMEX", 1
"8", "battery", 6
"8", "Battery life", 2
"8", "battery size", 1
"8", "battery-life", 2
"8", "car", 3
"8", "card slot", 2
"8", "cheaper alternative design", 1
"8", "Chinese", 1
"8", "design", 4
"8", "design.", 4
"8", "edge", 2
"8", "efficient TouchWiz", 1
"8", "everday phone", 1
"8", "flag-ship phones", 1
"8", "Galaxy Note series", 1
"8", "Galaxy Note5", 1
"8", "galaxynote5", 1
"8", "HW", 2
"8", "IR blaster", 1
"8", "LTE", 2
"8", "micro SD", 1
"8", "MicroSD", 1
"8", "non removable battery", 2
"8", "non-removable battery", 2
"8", "notes", 2
"8", "OS", 9
"8", "previous design", 1
"8", "removable battery", 2
"8", "ROM", 1
"8", "Samsung Galaxy Note5", 1
"8", "Samsung website", 1
"8", "screen", 2
"8", "Screen size", 1
"8", "screen size phone", 1
"8", "screen.", 2
"8", "screens", 1
"8", "screens.", 1
"8", "SD", 5
"8", "SD card", 3
"8", "SD card slot", 2
"8", "SD card slot.", 2
"8", "sd card support", 1
"8", "SD cards", 3
"8", "SD-Card", 3
"8", "sd-card slot", 2
"8", "SD-Card support", 1
"8", "software", 1
"8", "Storage", 1
"8", "touch wiz", 2
"8", "TouchWiz", 2
"8", "tv", 2
"8", "UI", 1
"8", "VR", 1
"10", "60fps", 1
"10", "youtube 60fps", 1
"11", "finger print", 3
"11", "finger print scanner", 2
"11", "finger prints", 2
"11", "fingerprint", 3
"11", "fingerprint scanner", 2
"11", "fingerprints", 2
"12", "battery", 1
"12", "cable", 1
"12", "cables", 1
"12", "charge", 5
"12", "charger", 5
"12", "Charger compatibility", 1
"12", "micro usb", 1
"12", "micro USB port", 1
"12", "micro-USB port", 1
"12", "Note5s", 1
"12", "OEM charger", 1
"12", "OTA", 1
"12", "OTAs", 1
"12", "USB port", 1
"13", "battery", 1
"13", "Battery life", 1
"13", "battery life suck", 1
"13", "battery-life", 1
"15", "Action Note", 1
"15", "action notes", 1
"15", "evernote", 2
"15", "Home Screen", 2
"15", "home screen.", 2
"15", "home screens", 1
"15", "homescreen", 2
"15", "homescreens", 1
"15", "notes", 2
"15", "screen", 4
"15", "screen-off", 2
"15", "screen.", 4
"15", "screens", 1
"15", "screens.", 1
"15", "SD", 1
"15", "sync", 2
"15", "widget", 1
"16", "iphone6", 1
"16", "Note5s", 1
"16", "OS", 2
"16", "OS systems", 1
"16", "RAM", 1
"16", "ROM", 1
"16", "Samsung Note", 1
"16", "Samsung Note5", 1
"16", "systems", 1
"16", "upgrade", 1
"17", "Galaxy Note5", 1
"17", "galaxynote5", 1
"17", "ROM", 1
"17", "Samsung Galaxy Note5", 1
"17", "Specifications", 1
"19", "better UI", 1
"19", "bug", 2
"19", "color", 1
"19", "metal", 1
"19", "OS", 3
"19", "purple", 1
"19", "screen", 1
"19", "screen.", 1
"19", "theme", 2
"19", "UI", 1
"19", "write", 1
"20", "car", 1
"20", "clicking mechanism", 1
"20", "design", 1
"20", "design.", 1
"20", "OS", 2
"20", "pen", 4
"20", "pen.", 4
"20", "S-Pen", 3
"20", "Spen", 3
"24", "charging", 1
"24", "CPU", 1
"24", "initial setup", 1
"24", "MST", 1
"24", "OS", 1
"24", "OTA", 1
"24", "sim", 1
"24", "UI", 1
"25", "4K AMOLED Display", 1
"25", "Amoled", 1
"25", "amoled display", 1
"25", "display", 1
"25", "Galaxy Note5", 1
"25", "galaxynote5", 1
"25", "map", 1
"26", "actual stores", 1
"27", "battery", 1
"27", "Battery life", 1
"27", "battery-life", 1
"27", "drop", 1
"27", "Dropped", 1
"27", "HW", 1
"27", "OS", 1
"27", "OTA", 1
"27", "plugged", 1
"27", "ROM", 1
"28", "battery", 1
"28", "Battery life", 1
"28", "battery-life", 1
"29", "Galaxy Note5", 1
"29", "galaxynote5", 1
"29", "Samsung Galaxy Note5", 1
"29", "UI", 1
"29", "User Guide", 1
"33", "calendar", 2
"33", "calendar   S planner", 1
"33", "Planner", 1
"33", "write", 1
"34", "boot", 1
"34", "Verizon model", 1
"35", "GPS", 3
"35", "gps problem", 1
"35", "ROM", 1
"35", "tmobile gps", 1
"36", "Amoled", 2
"36", "AMOLED screen", 2
"36", "AMOLED screens", 1
"36", "oled screen", 2
"36", "OLED screens", 1
"36", "OS", 1
"36", "ROM", 1
"36", "screen", 4
"36", "screen.", 4
"36", "screens", 1
"36", "screens.", 1
"36", "Yellowish screen", 1
"39", "battery", 1
"39", "Battery life", 1
"39", "battery life suck", 1
"39", "battery-life", 1
"39", "charging", 1
"39", "digitizer", 1
"39", "fast charging", 1
"39", "new digitizer", 1
"39", "OTA", 1
"39", "Pre order", 1
"39", "pre-order", 1
"39", "ROM", 3
"43", "edge", 1
"44", "Asian market releases", 1
"44", "Black Sapphire", 1
"44", "color", 2
"44", "colors", 1
"44", "mention availability", 1
"44", "MST", 1
"44", "silver", 3
"44", "silver color", 1
"44", "titanium silver", 2
"44", "titanium silver color", 1
"45", "dock", 1
"45", "Galaxy Note5", 1
"45", "galaxynote5", 1
"45", "Samsung Galaxy Note5", 1
"45", "Samsung Smart Dock", 1
"45", "Smart Dock", 1
"46", "Note5s", 1
"46", "S-Voice", 1
"46", "sound", 3
"46", "Sounds", 1
"46", "speaker", 2
"46", "svoice", 1
"48", "notification", 1
"49", "Shockproof Case", 1
"50", "ADB", 1
"50", "OS", 1
"50", "pen", 2
"50", "pen.", 2
"50", "S-Pen", 1
"50", "Spen", 1
"50", "stuck pen", 1
"51", "background service", 1
"51", "battery", 4
"51", "Battery life", 4
"51", "battery-life", 4
"51", "Chromecast", 1
"51", "FaceTime", 1
"51", "good battery", 1
"51", "good battery life", 1
"51", "HW", 1
"51", "iphone6", 2
"51", "ips", 1
"51", "LTE", 1
"51", "message", 2
"51", "message.", 2
"51", "processor", 1
"51", "ROM", 2
"51", "sim", 1
"51", "SMS", 1
"51", "unnecessary process", 1
"51", "upgrade", 1
"51", "user experience", 1
"51", "Wi-Fi", 1
"51", "wifi", 1
"52", "button", 4
"52", "menu  button", 1
"52", "menu button", 1
"52", "OS", 1
"52", "ROM", 2
"52", "theme", 1
"52", "window button", 1
"54", "IR blaster", 1
"54", "OS", 1
"54", "photos", 1
"55", "BT", 1
"55", "contract", 1
"55", "edge", 2
"55", "note device", 1
"55", "OS", 1
"55", "upgrade", 1
"56", "ADB", 1
"56", "ATM", 1
"56", "ATM.", 1
"56", "bigger screen", 1
"56", "book", 1
"56", "long time", 1
"56", "map", 1
"56", "maps", 1
"56", "OS", 2
"56", "ROM", 2
"56", "screen", 1
"56", "screen.", 1
"56", "social media", 1
"56", "upgrade", 1
"56", "video", 1
"56", "videos", 1
"56", "YouTube videos", 1
"57", "ADB", 1
"57", "ATM", 1
"57", "ATM.", 1
"57", "bigger screen", 1
"57", "book", 1
"57", "long time", 1
"57", "map", 1
"57", "maps", 1
"57", "OS", 2
"57", "ROM", 2
"57", "screen", 1
"57", "screen.", 1
"57", "social media", 1
"57", "upgrade", 1
"57", "video", 1
"57", "videos", 1
"57", "YouTube videos", 1
"58", "4G", 2
"58", "4GB", 2
"58", "64GB", 2
"58", "64GB Note", 1
"58", "ATM", 1
"58", "ATM.", 1
"58", "OS", 1
"58", "T-Mobile stores", 1
"59", "3G", 2
"59", "3G 4G", 1
"59", "4G", 2
"59", "4GB", 1
"59", "colour", 1
"59", "Compatible", 2
"59", "faviroute colour", 1
"59", "GSM 3G 4G", 1
"59", "N920I Model support", 1
"59", "network", 1
"59", "networks", 1
"59", "ROM", 1
"59", "UK Networks", 1
"60", "pen", 1
"60", "pen.", 1
"60", "phone screen", 1
"60", "scratches", 1
"60", "screen", 2
"60", "screen guard", 1
"60", "screen.", 2
"60", "small scratch", 1
"60", "tone", 1
"61", "best processor", 1
"61", "edge", 1
"61", "ips", 2
"61", "processor", 1
"61", "significant upgrade", 1
"61", "upgrade", 1
"62", "default apps", 2
"62", "different launcher", 1
"62", "HW", 1
"62", "launcher  touchwiz", 1
"62", "OS", 2
"62", "pen", 2
"62", "pen.", 2
"62", "ROM", 1
"62", "touch wiz", 1
"62", "TouchWiz", 1
"63", "battery", 4
"63", "battery drain", 1
"63", "Battery life", 1
"63", "battery-life", 1
"63", "MST", 1
"63", "screen", 2
"63", "Screen On Time", 1
"63", "Screen-on time", 1
"63", "screen.", 2
"63", "sim", 1
"63", "standby battery", 1
"63", "Standby Battery Drain", 1
"63", "terrible battery life", 1
"63", "Verizon Note5", 1
"64", "OS", 1
"64", "speaker", 1
"64", "stereo speakers", 1
"65", "add-on battery case", 1
"65", "battery", 4
"65", "battery case", 1
"65", "car", 1
"65", "card slot", 1
"65", "extended battery", 1
"65", "micro usb", 1
"65", "micro USB port", 1
"65", "micro-USB port", 1
"65", "OS", 1
"65", "OTA", 1
"65", "plugs", 1
"65", "SD", 1
"65", "SD card", 1
"65", "SD card slot", 1
"65", "SD card slot.", 1
"65", "SD cards", 1
"65", "SD-Card", 1
"65", "sd-card slot", 1
"65", "USB port", 1
"66", "camera", 1
"66", "OS", 1
"66", "picture", 1
"66", "pictures", 1
"67", "pay", 1
"67", "Samsung Pay", 1
"67", "SamsungPay", 1
"68", "pen", 2
"68", "pen.", 2
"68", "S-Pen", 1
"68", "S-Pen Broke", 1
"68", "s-pen broke.", 1
"68", "Spen", 1
"69", "battery", 4
"69", "charge", 1
"69", "drop", 2
"69", "message", 1
"69", "message.", 1
"69", "messages", 1
"69", "MST", 1
"69", "OS", 1
"69", "ROM", 1
"69", "text message", 1
"69", "text messages", 1
"69", "UI", 1
"70", "OTA", 1
"70", "RAM", 2
"70", "RAM management", 1
"70", "SD", 2
"70", "tablet", 1
"72", "32GB", 2
"72", "32GB Note", 1
"72", "iphone6", 1
"72", "ROM", 1
"72", "Storage", 2
"72", "storage space", 2
"72", "upgrade", 1
"72", "usable storage space", 1
"72", "useable storage space", 1
"73", "edge", 2
"73", "OS", 1
"73", "ROM", 3
"73", "Samsung Galaxy S6", 1
"73", "Samsung Note", 1
"73", "Samsung Note5", 1
"74", "ATT sim", 1
"74", "boot", 1
"74", "edge", 1
"74", "ROM", 1
"74", "sim", 1
"74", "upgrade", 1
"76", "edge", 1
"76", "ROM", 2
"76", "upgrade", 2
"77", "Galaxy Note5", 1
"77", "galaxynote5", 1
"77", "pay", 1
"77", "Samsung Galaxy Note5", 1
"77", "Samsung Pay", 1
"77", "Samsung Pay Roll", 1
"77", "SamsungPay", 1
"78", "batteries", 1
"78", "battery", 3
"78", "BT", 1
"78", "camera", 1
"78", "camera app", 1
"78", "car", 1
"78", "charge", 1
"78", "charger", 1
"78", "entire page", 1
"78", "HW", 1
"78", "ips", 1
"78", "live stream", 1
"78", "multi task", 1
"78", "multi tasking", 1
"78", "multitasking", 1
"78", "OS", 1
"78", "OTA", 1
"78", "pen", 1
"78", "pen.", 1
"78", "phone look", 1
"78", "phone looks", 1
"78", "removable batteries", 1
"78", "removable battery", 1
"78", "ROM", 3
"78", "S-Pen", 1
"78", "screen", 2
"78", "screen.", 2
"78", "screengrabs", 1
"78", "SD", 2
"78", "sim", 1
"78", "software", 1
"78", "software features", 1
"78", "Spen", 1
"78", "stock Android", 1
"78", "tone", 1
"78", "touch wiz", 1
"78", "TouchWiz", 1
"78", "touchwiz shit", 1
"78", "UI", 1
"78", "video", 1
"78", "write", 1
"79", "30fps", 1
"79", "ATM", 1
"79", "ATM.", 1
"79", "camera", 1
"79", "camera specs", 1
"79", "cameras", 1
"79", "Galaxy Note5", 1
"79", "galaxynote5", 1
"79", "RAM", 1
"79", "record", 1
"79", "recording", 1
"79", "slow motion", 1
"79", "video", 1
"79", "video recording", 1
"82", "1080p", 2
"82", "120-degree wide-angle lens", 1
"82", "128gb", 1
"82", "4G", 2
"82", "4GB", 2
"82", "4GB ram", 1
"82", "60fps", 1
"82", "60fps video", 1
"82", "Amoled", 2
"82", "Android version", 1
"82", "API", 2
"82", "battery", 1
"82", "camera", 2
"82", "Camera    16-megapixels", 1
"82", "Camera    8-megapixels", 1
"82", "display", 1
"82", "expandable storage", 1
"82", "Exynos", 1
"82", "Galaxy Note5", 2
"82", "galaxynote5", 2
"82", "HD super AMOLED", 1
"82", "HW", 1
"82", "internal storage", 1
"82", "lens", 1
"82", "megapixels", 2
"82", "OS", 2
"82", "pen", 2
"82", "pen.", 2
"82", "pixel Super AMOLED", 1
"82", "processor", 1
"82", "Quad-HD Super", 1
"82", "RAM", 4
"82", "ROM", 1
"82", "S-Pen", 2
"82", "sensor", 1
"82", "sim", 1
"82", "Spen", 2
"82", "Storage", 2
"82", "touch wiz", 1
"82", "TouchWiz", 1
"82", "update", 2
"82", "update.", 2
"82", "video", 3
"82", "videos", 1
"82", "Wide Angle", 1
"82", "wide angle lens", 1
"84", "administrative rights", 1
"84", "boot", 1
"84", "Galaxy Note5", 1
"84", "galaxynote5", 1
"84", "pen", 2
"84", "pen.", 2
"84", "pens", 1
"84", "reboots", 1
"84", "ROM", 2
"84", "SideSync", 3
"84", "SideSync software", 1
"84", "SideSync Won", 2
"84", "software", 1
"84", "sync", 3
"84", "tv", 1
"84", "UI", 1
"87", "battery", 6
"87", "battery drain", 1
"87", "battery drains", 1
"87", "Battery life", 3
"87", "battery-life", 3
"87", "brightness", 1
"87", "charge", 4
"87", "charger", 2
"87", "chat", 1
"87", "drop", 1
"87", "iphone6", 3
"87", "MST", 1
"87", "Mute", 1
"87", "netflix", 1
"87", "normal morning commute", 1
"87", "OS", 4
"87", "pay", 1
"87", "Podcast", 1
"87", "poor battery life", 2
"87", "Quick Charge", 1
"87", "quick charge.", 1
"87", "quick charger", 1
"87", "QuickCharge", 1
"87", "recharge", 1
"87", "ROM", 2
"87", "screen", 1
"87", "screen.", 1
"87", "SD", 2
"87", "software", 1
"87", "sync", 1
"87", "UI", 3
"87", "video", 1
"87", "videos", 1
"88", "Galaxy Note5", 1
"88", "galaxynote5", 1
"88", "high res", 1
"88", "high-res", 1
"88", "Note5s", 1
"89", "e-mail", 4
"89", "email", 4
"89", "email client", 1
"89", "sim", 1
"89", "stock email client", 1
"90", "Google Now launcher", 1
"90", "memo", 1
"90", "screen", 1
"90", "Screen Off Memo", 1
"90", "screen-off", 1
"90", "screen-off memo", 1
"90", "screen-off memo feature", 1
"90", "screen.", 1
"91", "keyboard", 2
"91", "Keyboard cover", 2
"91", "Keyboard cover popup", 1
"91", "material", 1
"91", "material theme", 1
"91", "message", 1
"91", "message.", 1
"91", "SD", 1
"91", "stock theme", 1
"91", "theme", 3
"91", "themes", 1
"91", "video", 2
"92", "camera", 2
"92", "camera lens", 2
"92", "camera lense", 2
"92", "heart rate", 1
"92", "heart rate monitor", 1
"92", "lens", 2
"92", "lense", 2
"92", "lenses", 1
"92", "plastic", 2
"92", "visa", 1
"93", "car", 1
"93", "display", 1
"93", "Galaxy Note5", 5
"93", "galaxynote5", 5
"93", "movie", 1
"93", "movies", 1
"93", "Note5s", 1
"93", "OS", 1
"93", "resolution", 1
"93", "resolution.", 1
"93", "Samsung Galaxy Note5", 2
"93", "video", 1
"94", "battery", 1
"94", "Battery life", 1
"94", "battery-life", 1
"95", "battery", 4
"95", "Battery life", 1
"95", "battery online", 1
"95", "battery optimization", 1
"95", "battery-life", 1
"95", "charge", 1
"95", "good battery", 1
"95", "good battery life", 1
"95", "hardware", 1
"95", "optimization", 1
"95", "screen", 2
"95", "Screen On Time", 2
"95", "Screen-on time", 2
"95", "screen.", 2
"95", "SD", 1
"95", "XB", 1
"96", "Action Memo", 1
"96", "Home Screen", 1
"96", "home screen.", 1
"96", "home screens", 1
"96", "homescreen", 1
"96", "homescreens", 1
"96", "large notes", 1
"96", "large S-Note widgets", 1
"96", "memo", 1
"96", "notes", 1
"96", "S-Note", 1
"96", "s-note widget", 1
"96", "screen", 2
"96", "screen.", 2
"96", "screens", 1
"96", "screens.", 1
"96", "snote", 1
"96", "widget", 1
"96", "widgets", 1
"98", "Chromecast", 1
"98", "chromecasting", 1
"98", "game", 1
"98", "IR blaster", 1
"98", "ROM", 1
"98", "sound", 1
"98", "tv", 3
"98", "TV remote", 1
"98", "VR", 1
"99", "4G", 2
"99", "car", 1
"99", "cheap phone", 1
"100", "battery", 1
"100", "car", 2
"100", "drain battery", 1
"100", "free RAM", 1
"100", "multi task", 1
"100", "multi tasking", 1
"100", "multitasking", 1
"100", "RAM", 1
"102", "Auto brightnes", 1
"102", "auto brightness", 1
"102", "auto-brightness", 1
"102", "battery", 2
"102", "battery stat", 1
"102", "battery stats", 1
"102", "brightness", 1
"102", "charge", 1
"102", "OS", 2
"102", "OTA", 1
"102", "plugged", 1
"102", "screen", 1
"102", "screen shot", 1
"102", "screen.", 1
"102", "screens", 1
"102", "screens.", 1
"102", "screenshot", 1
"102", "sync", 1
"102", "Wi-Fi", 1
"102", "wifi", 1
"103", "brightness", 1
"103", "Brightness slider", 1
"103", "notification", 1
"103", "notification menu", 1
"103", "OS", 1
"103", "ROM", 1
"104", "Spigen Neo Hybrid", 1
"104", "Spigen Neo-Hybrid", 1
"105", "API", 1
"105", "backlight", 2
"105", "Capture", 1
"105", "color", 2
"105", "colors", 1
"105", "Darker colors", 1
"105", "MST", 1
"105", "Note5s", 1
"105", "OS", 1
"105", "OTA", 1
"105", "picture", 1
"105", "S-Note", 1
"105", "screen", 3
"105", "screen.", 3
"105", "snote", 1
"106", "10400mAh Portable Charger", 1
"106", "aukey quick charge", 1
"106", "battery", 1
"106", "charge", 2
"106", "charger", 1
"106", "mAh portable charger", 1
"106", "OS", 1
"106", "portable charger", 1
"106", "Quick Charge", 1
"106", "quick charge.", 1
"106", "QuickCharge", 1
"106", "removable battery", 1
"106", "UI", 1
"107", "AMEX", 1
"107", "ATM", 1
"107", "ATM.", 1
"107", "battery", 1
"107", "Battery life", 1
"107", "battery-life", 1
"107", "OS", 2
"107", "OTA", 2
"107", "power drain", 1
"107", "Samsung VR", 1
"107", "sim", 1
"107", "Tether", 1
"107", "tethering", 1
"107", "VR", 1
"108", "Galaxy Note5", 1
"108", "Galaxy Unpacked event", 1
"108", "galaxynote5", 1
"108", "UNPACKED event", 1
"109", "finger print", 2
"109", "fingerprint", 2
"109", "long screen", 2
"109", "long screen caps", 1
"109", "OTA", 1
"109", "pay", 2
"109", "PayPal", 2
"109", "screen", 2
"109", "screen cap", 2
"109", "screen.", 2
"110", "recent app", 1
"110", "recent apps", 1
"110", "screen", 1
"110", "screen.", 1
"111", "application switcher", 1
"111", "Applications", 1
"111", "button", 1
"111", "buttons", 1
"111", "long presses", 1
"111", "Multi window", 1
"111", "multi-window mode", 1
"111", "multiwindow", 1
"111", "pen", 1
"111", "pen.", 1
"111", "UI", 1
"112", "ATM", 1
"112", "ATM.", 1
"112", "extension packs", 1
"112", "galaxy note tab", 1
"112", "handwritten text", 1
"112", "OS", 2
"112", "pen", 1
"112", "pen.", 1
"112", "pens", 1
"112", "S-Note", 3
"112", "screen", 1
"112", "screen.", 1
"112", "SD", 1
"112", "snote", 3
"112", "start screen", 1
"113", "notification", 3
"113", "notifications", 2
"113", "OS", 1
"113", "screen", 2
"113", "screen wake", 1
"113", "screen.", 2
"113", "UI", 1
"114", "Chromecast", 1
"114", "direct connection", 1
"114", "direct connection  HDMI", 1
"114", "game", 1
"114", "games", 1
"114", "movie", 1
"114", "movies", 1
"114", "OS", 1
"114", "ROM", 1
"114", "screen", 1
"114", "screen mirroring", 1
"114", "Screen Mirroring Options", 1
"114", "screen.", 1
"114", "SideSync", 1
"114", "Sidesync crashes", 1
"114", "sync", 1
"114", "tv", 1
"115", "Asus", 1
"115", "battery", 3
"115", "Verizon Note5", 1
"116", "dock", 2
"116", "good dock", 1
"117", "car", 1
"117", "heart rate", 2
"117", "heart rate sensor", 2
"117", "lens", 2
"117", "OS", 1
"117", "OTA", 1
"117", "perform", 1
"117", "performance", 1
"117", "plastic", 1
"117", "replacement", 1
"117", "ROM", 2
"117", "sensor", 3
"117", "sensors", 1
"118", "App notifications", 1
"118", "e-mail", 1
"118", "email", 1
"118", "emails", 1
"118", "Late notifications", 1
"118", "message", 1
"118", "message.", 1
"118", "messages", 1
"118", "new messages", 1
"118", "notification", 3
"118", "notifications", 3
"118", "OS", 2
"118", "pen", 2
"118", "pen.", 2
"118", "sleep mode", 1
"118", "Whats App", 1
"118", "Whatsapp", 1
"118", "whatsapp notification", 1
"118", "Wi-Fi", 1
"118", "wifi", 1
"120", "batteries", 1
"120", "car", 1
"120", "gear vr", 4
"120", "GearVR", 4
"120", "GearVR support", 2
"120", "notes", 1
"120", "OTA", 1
"120", "processor", 1
"120", "RAM", 1
"120", "replaceable batter", 1
"120", "SD", 2
"120", "SD card", 1
"120", "SD-Card", 1
"120", "sim", 1
"120", "software", 1
"120", "UI", 1
"120", "upgrade", 1
"120", "VR", 4
"120", "Vr support", 2
"121", "edge", 1
"121", "Galaxy Note5", 1
"121", "galaxynote5", 1
"122", "ATT LTE", 2
"122", "Galaxy Note5", 2
"122", "galaxynote5", 2
"122", "international Galaxy Note", 1
"122", "LTE", 2
"122", "Note5s", 1
"122", "Samsung Galaxy Note5", 1
"122", "SD", 1
"122", "silver", 1
"122", "tv", 1
"122", "Wi-Fi", 1
"122", "wifi", 1
"124", "4G", 1
"124", "4GB", 1
"124", "64GB", 1
"124", "BT", 1
"124", "contract", 1
"124", "edge", 1
"124", "LGG4", 1
"124", "network", 1
"124", "networks", 1
"124", "OS", 1
"124", "OTG", 1
"124", "ROM", 2
"124", "silver", 2
"124", "silver note", 1
"124", "sim", 1
"124", "titanium silver", 1
"124", "Titanium Silver Note", 1
"124", "Transfer", 1
"126", "car", 1
"126", "new S Pen", 1
"126", "new S-Pen", 1
"126", "new SPen", 1
"126", "pen", 1
"126", "pen.", 1
"126", "S-Pen", 1
"126", "Spen", 1
"126", "stylus", 1
"126", "Stylus Better", 1
"126", "stylus..", 1
"127", "aggressive app", 1
"127", "internet", 1
"127", "internet access", 1
"128", "e-mail", 2
"128", "email", 2
"128", "emails", 1
"128", "mobile note", 1
"128", "netflix", 1
"128", "ROM", 1
"130", "audio", 3
"130", "audio quality", 1
"130", "audiophiles care", 1
"130", "car", 1
"130", "headphones", 1
"130", "music", 1
"131", "OS", 1
"131", "pay", 1
"131", "ROM", 1
"131", "Samsung Pay", 1
"131", "Samsung Pay Usage", 1
"131", "SamsungPay", 1
"132", "Compatible", 1
"132", "network", 1
"132", "networks", 1
"132", "pay", 1
"132", "QA", 1
"132", "ROM", 3
"132", "UI", 2
"132", "warranty", 1
"132", "warranty.", 1
"133", "charge", 5
"133", "charger", 2
"133", "charger work", 2
"133", "Charges", 1
"133", "charging", 1
"133", "fast charge", 1
"133", "old S4 charger", 1
"133", "slow charge", 1
"133", "slow charging", 1
"134", "cable", 2
"134", "cables", 1
"134", "newest note", 1
"134", "OTG", 2
"134", "OTG cables", 1
"135", "camera", 1
"135", "plastic", 1
"135", "plastic film", 1
"135", "rear camera", 1
"136", "game", 1
"136", "games", 1
"136", "keyboard", 1
"136", "pen", 2
"136", "pen.", 2
"136", "pens", 2
"136", "processor", 1
"136", "processors", 1
"136", "video", 1
"136", "Video playback", 1
"139", "drop", 2
"139", "Drop test", 1
"139", "Dropped", 1
"139", "Galaxy Note5", 1
"139", "galaxynote5", 1
"139", "pen", 1
"139", "pen.", 1
"139", "perform", 1
"139", "Samsung Galaxy Note5", 1
"140", "32GB", 1
"140", "ear headphones", 2
"140", "free extra headphones", 1
"140", "free pair", 1
"140", "headphones", 3
"140", "iPhone5", 1
"140", "over-ear headphones", 1
"140", "sprint store", 1
"140", "upgrade", 2
"142", "1440p", 1
"142", "60fps", 3
"142", "60fps video", 2
"142", "60fps videos", 2
"142", "Galaxy Note5", 1
"142", "galaxynote5", 1
"142", "OS", 3
"142", "theme", 1
"142", "video", 3
"142", "videos", 3
"142", "YouTube app", 2
"142", "YouTube app doesn", 1
"143", "OS", 1
"143", "pen", 2
"143", "pen.", 2
"143", "pens", 1
"143", "phone app", 1
"143", "phone application", 1
"143", "play store", 1
"143", "playstore", 1
"143", "sim", 1
"144", "credentials", 1
"144", "edge", 1
"144", "Galaxy Note5", 1
"144", "galaxynote5", 1
"144", "Gmail credentials", 1
"144", "live stream", 1
"144", "Note5s", 1
"144", "OS", 2
"144", "sim", 1
"145", "1080p", 1
"145", "highest resolution", 1
"145", "picture", 1
"145", "picture quality", 1
"145", "resolution", 1
"145", "resolution.", 1
"145", "Youtube live broadcast", 1
"149", "button", 2
"149", "buttons", 1
"149", "Context menu button", 1
"149", "left touch", 1
"149", "menu  button", 1
"149", "menu button", 1
"149", "pen", 1
"149", "Pen app", 1
"149", "pen.", 1
"149", "ROM", 1
"149", "SD", 1
"149", "touch button", 1
